neighborhood_id,date,total_kwh
1,2025-01-01,3533.61
1,2025-01-02,3693.36
1,2025-01-03,3687.56
1,2025-01-04,3902.6
1,2025-01-05,3940.48
1,2025-01-06,3921.33
1,2025-01-07,4357.33
1,2025-01-08,4399.42
1,2025-01-09,3165.92
1,2025-01-10,4140.31
1,2025-01-11,3886.14
1,2025-01-12,3929.68
1,2025-01-13,3525.75
1,2025-01-14,4491.41
1,2025-01-15,4021.96
1,2025-01-16,4160.78
1,2025-01-17,4196.99
1,2025-01-18,4348.73
1,2025-01-19,3996.76
1,2025-01-20,4098.57
1,2025-01-21,4155.21
1,2025-01-22,4359.27
1,2025-01-23,4107.84
1,2025-01-24,4158.52
1,2025-01-25,3933.87
1,2025-01-26,3938.06
1,2025-01-27,4534.29
1,2025-01-28,4763.92
1,2025-01-29,4118.65
1,2025-01-30,4386.01
1,2025-01-31,3864.57
1,2025-02-01,4146.27
1,2025-02-02,4146.86
1,2025-02-03,4840.53
1,2025-02-04,4439.99
1,2025-02-05,3857.73
1,2025-02-06,3596.17
1,2025-02-07,4003.55
1,2025-02-08,4441.96
1,2025-02-09,4508.3
1,2025-02-10,4670.02
1,2025-02-11,3770.25
1,2025-02-12,4632.1
1,2025-02-13,4453.21
1,2025-02-14,4624.82
1,2025-02-15,4703.55
1,2025-02-16,5318.36
1,2025-02-17,4875.7
1,2025-02-18,4536.84
1,2025-02-19,4664.42
1,2025-02-20,4178.97
1,2025-02-21,4154.32
1,2025-02-22,3862.82
1,2025-02-23,4056.86
1,2025-02-24,4797.18
1,2025-02-25,4242.67
1,2025-02-26,4758.51
1,2025-02-27,5072.19
1,2025-02-28,4680.04
1,2025-03-01,4831.11
1,2025-03-02,4288.15
1,2025-03-03,4586.19
1,2025-03-04,5180.43
1,2025-03-05,4225.94
1,2025-03-06,5004.44
1,2025-03-07,5301.64
1,2025-03-08,4836.15
1,2025-03-09,4042.5
1,2025-03-10,4800.86
1,2025-03-11,4654.37
1,2025-03-12,4866.31
1,2025-03-13,4973.06
1,2025-03-14,4408.65
1,2025-03-15,4389.35
1,2025-03-16,4655.31
1,2025-03-17,4352.37
1,2025-03-18,4777.93
1,2025-03-19,4682.33
1,2025-03-20,5725.37
1,2025-03-21,4344.5
1,2025-03-22,4439.6
1,2025-03-23,4899.63
1,2025-03-24,5072.68
1,2025-03-25,5612.16
1,2025-03-26,5362.5
1,2025-03-27,5061.07
1,2025-03-28,4861.14
1,2025-03-29,5091.92
1,2025-03-30,4520.15
1,2025-03-31,4632.73
1,2025-04-01,4189.71
1,2025-04-02,4666.63
1,2025-04-03,5119.67
1,2025-04-04,4673.5
1,2025-04-05,4458.3
1,2025-04-06,4614.92
1,2025-04-07,5025.67
1,2025-04-08,4651.84
1,2025-04-09,5070.04
1,2025-04-10,4247.42
1,2025-04-11,4412.68
1,2025-04-12,4548.17
1,2025-04-13,4240.97
1,2025-04-14,5849.17
1,2025-04-15,4315.95
1,2025-04-16,5073.14
1,2025-04-17,4471.51
1,2025-04-18,4524.97
1,2025-04-19,4828.06
1,2025-04-20,4160.1
1,2025-04-21,4455.14
1,2025-04-22,4644.18
1,2025-04-23,4375.98
1,2025-04-24,4379.35
1,2025-04-25,5088.7
1,2025-04-26,5051.2
1,2025-04-27,4503.68
1,2025-04-28,4630.39
1,2025-04-29,5115.26
1,2025-04-30,4116.9
1,2025-05-01,4765.05
1,2025-05-02,5363.34
1,2025-05-03,5350.38
1,2025-05-04,3898.92
1,2025-05-05,4325.49
1,2025-05-06,4659.71
1,2025-05-07,4103.33
1,2025-05-08,4334.44
1,2025-05-09,4519.49
1,2025-05-10,5071.08
1,2025-05-11,4533.35
1,2025-05-12,4618.42
1,2025-05-13,4714.85
1,2025-05-14,4714.98
1,2025-05-15,4517.77
1,2025-05-16,4065.93
1,2025-05-17,4768.6
1,2025-05-18,4628.18
1,2025-05-19,4070.56
1,2025-05-20,4207.26
1,2025-05-21,4753.19
1,2025-05-22,4640.19
1,2025-05-23,4159.04
1,2025-05-24,4305.68
1,2025-05-25,4337.54
1,2025-05-26,4590.86
1,2025-05-27,4797.56
1,2025-05-28,4371.27
1,2025-05-29,4740.43
1,2025-05-30,4623.22
1,2025-05-31,4378.38
1,2025-06-01,3797.75
1,2025-06-02,3927.63
1,2025-06-03,4518.17
1,2025-06-04,3669.18
1,2025-06-05,4276.7
1,2025-06-06,4559.65
1,2025-06-07,4258.29
1,2025-06-08,3990.43
1,2025-06-09,3894.22
1,2025-06-10,4433.78
1,2025-06-11,4303.31
1,2025-06-12,4037.16
1,2025-06-13,4466.9
1,2025-06-14,4380.77
1,2025-06-15,4669.54
1,2025-06-16,4253.91
1,2025-06-17,4000.26
1,2025-06-18,3991.59
1,2025-06-19,3399.44
1,2025-06-20,4054.22
1,2025-06-21,3984.9
1,2025-06-22,3551.0
1,2025-06-23,3949.71
1,2025-06-24,4365.08
1,2025-06-25,3694.67
1,2025-06-26,3608.9
1,2025-06-27,4236.91
1,2025-06-28,4073.2
1,2025-06-29,4805.49
1,2025-06-30,3438.37
1,2025-07-01,4048.06
1,2025-07-02,3907.43
1,2025-07-03,3812.75
1,2025-07-04,4053.61
1,2025-07-05,3753.08
1,2025-07-06,3165.44
1,2025-07-07,3476.55
1,2025-07-08,4118.35
1,2025-07-09,4043.39
1,2025-07-10,3570.66
1,2025-07-11,3811.94
1,2025-07-12,4460.64
1,2025-07-13,3622.96
1,2025-07-14,3612.6
1,2025-07-15,3654.82
1,2025-07-16,3758.0
1,2025-07-17,3468.49
1,2025-07-18,3724.51
1,2025-07-19,2986.44
1,2025-07-20,3615.59
1,2025-07-21,3519.45
1,2025-07-22,3429.04
1,2025-07-23,3342.25
1,2025-07-24,3290.41
1,2025-07-25,3219.7
1,2025-07-26,2792.89
1,2025-07-27,3340.55
1,2025-07-28,3696.97
1,2025-07-29,3293.31
1,2025-07-30,3540.69
1,2025-07-31,3065.06
1,2025-08-01,2991.67
1,2025-08-02,3126.6
1,2025-08-03,3040.55
1,2025-08-04,2986.18
1,2025-08-05,3402.74
1,2025-08-06,3736.41
1,2025-08-07,3083.63
1,2025-08-08,2805.03
1,2025-08-09,3400.71
1,2025-08-10,2848.31
1,2025-08-11,2901.74
1,2025-08-12,3318.93
1,2025-08-13,3138.0
1,2025-08-14,2993.64
1,2025-08-15,3172.95
1,2025-08-16,3040.84
1,2025-08-17,3605.57
1,2025-08-18,2951.9
1,2025-08-19,2882.11
1,2025-08-20,2985.44
1,2025-08-21,2985.4
1,2025-08-22,3223.29
1,2025-08-23,2577.7
1,2025-08-24,3160.14
1,2025-08-25,2914.08
1,2025-08-26,3224.87
1,2025-08-27,3015.09
1,2025-08-28,3142.49
1,2025-08-29,2914.0
1,2025-08-30,3104.43
1,2025-08-31,3388.77
1,2025-09-01,2805.94
1,2025-09-02,2948.67
1,2025-09-03,2850.89
1,2025-09-04,3335.67
1,2025-09-05,2848.77
1,2025-09-06,2771.51
1,2025-09-07,2801.31
1,2025-09-08,2898.74
1,2025-09-09,2738.55
1,2025-09-10,2832.05
1,2025-09-11,2948.83
1,2025-09-12,2879.77
1,2025-09-13,3094.34
1,2025-09-14,2822.24
1,2025-09-15,2844.12
1,2025-09-16,2949.53
1,2025-09-17,3400.37
1,2025-09-18,2697.32
1,2025-09-19,3317.44
1,2025-09-20,2599.68
1,2025-09-21,2920.97
1,2025-09-22,2787.76
1,2025-09-23,2676.24
1,2025-09-24,3020.64
1,2025-09-25,2995.8
1,2025-09-26,2746.86
1,2025-09-27,2377.09
1,2025-09-28,2758.27
1,2025-09-29,2885.04
1,2025-09-30,2853.04
1,2025-10-01,3024.77
1,2025-10-02,3293.4
1,2025-10-03,2946.86
1,2025-10-04,2982.5
1,2025-10-05,2887.52
1,2025-10-06,3122.5
1,2025-10-07,2977.5
1,2025-10-08,3028.95
1,2025-10-09,3273.42
1,2025-10-10,2913.74
1,2025-10-11,2802.14
1,2025-10-12,2969.32
1,2025-10-13,3130.85
1,2025-10-14,2988.52
1,2025-10-15,3120.92
1,2025-10-16,2726.49
1,2025-10-17,2684.43
1,2025-10-18,2763.18
1,2025-10-19,2600.4
1,2025-10-20,2924.31
1,2025-10-21,2804.02
1,2025-10-22,3195.71
1,2025-10-23,2613.98
1,2025-10-24,3284.45
1,2025-10-25,2697.55
1,2025-10-26,2643.22
1,2025-10-27,2746.61
1,2025-10-28,3407.75
1,2025-10-29,2945.42
1,2025-10-30,3087.89
1,2025-10-31,2926.5
1,2025-11-01,2956.75
1,2025-11-02,2865.61
1,2025-11-03,3007.14
1,2025-11-04,3122.58
1,2025-11-05,3417.21
1,2025-11-06,2568.77
1,2025-11-07,3422.01
1,2025-11-08,3169.5
1,2025-11-09,2961.19
1,2025-11-10,2926.95
1,2025-11-11,3327.87
1,2025-11-12,3138.44
1,2025-11-13,2713.2
1,2025-11-14,3193.9
1,2025-11-15,3400.11
1,2025-11-16,3340.89
1,2025-11-17,2980.57
1,2025-11-18,2811.57
1,2025-11-19,3079.27
1,2025-11-20,4000.12
1,2025-11-21,2792.44
1,2025-11-22,2983.15
1,2025-11-23,3312.26
1,2025-11-24,3192.31
1,2025-11-25,3185.65
1,2025-11-26,3777.29
1,2025-11-27,3041.34
1,2025-11-28,3273.97
1,2025-11-29,3344.6
1,2025-11-30,3092.51
1,2025-12-01,2936.76
1,2025-12-02,3405.3
1,2025-12-03,3833.52
1,2025-12-04,3471.04
1,2025-12-05,3401.12
1,2025-12-06,3413.92
1,2025-12-07,3335.87
1,2025-12-08,3745.14
1,2025-12-09,3297.32
1,2025-12-10,3076.8
1,2025-12-11,3028.03
1,2025-12-12,3504.05
1,2025-12-13,3794.27
1,2025-12-14,3579.78
1,2025-12-15,3439.07
1,2025-12-16,3674.36
1,2025-12-17,3613.19
1,2025-12-18,3812.38
1,2025-12-19,3973.12
1,2025-12-20,3332.46
1,2025-12-21,2945.69
1,2025-12-22,3537.71
1,2025-12-23,3358.07
1,2025-12-24,3916.84
1,2025-12-25,3474.9
1,2025-12-26,3148.94
1,2025-12-27,3550.26
1,2025-12-28,3291.42
1,2025-12-29,4231.39
1,2025-12-30,3912.46
1,2025-12-31,3982.73
2,2025-01-01,10226.24
2,2025-01-02,8978.0
2,2025-01-03,10492.69
2,2025-01-04,9495.86
2,2025-01-05,8012.09
2,2025-01-06,10062.49
2,2025-01-07,9379.26
2,2025-01-08,11198.4
2,2025-01-09,9909.94
2,2025-01-10,10221.18
2,2025-01-11,10544.03
2,2025-01-12,10047.53
2,2025-01-13,10222.91
2,2025-01-14,11048.23
2,2025-01-15,9504.44
2,2025-01-16,9846.04
2,2025-01-17,9662.19
2,2025-01-18,11721.3
2,2025-01-19,9960.82
2,2025-01-20,10471.89
2,2025-01-21,10122.25
2,2025-01-22,10409.63
2,2025-01-23,10080.15
2,2025-01-24,11149.16
2,2025-01-25,9891.51
2,2025-01-26,9656.87
2,2025-01-27,10381.21
2,2025-01-28,10208.2
2,2025-01-29,9771.0
2,2025-01-30,10695.3
2,2025-01-31,9553.15
2,2025-02-01,12580.42
2,2025-02-02,9764.76
2,2025-02-03,10549.44
2,2025-02-04,10799.71
2,2025-02-05,12703.78
2,2025-02-06,9675.09
2,2025-02-07,11391.68
2,2025-02-08,12234.76
2,2025-02-09,11049.88
2,2025-02-10,10300.01
2,2025-02-11,11297.37
2,2025-02-12,12823.8
2,2025-02-13,10894.59
2,2025-02-14,12810.15
2,2025-02-15,11758.82
2,2025-02-16,12689.2
2,2025-02-17,11782.29
2,2025-02-18,11158.74
2,2025-02-19,13162.6
2,2025-02-20,11874.87
2,2025-02-21,11847.59
2,2025-02-22,12475.66
2,2025-02-23,12613.01
2,2025-02-24,12535.63
2,2025-02-25,10520.62
2,2025-02-26,11216.99
2,2025-02-27,11221.27
2,2025-02-28,11126.87
2,2025-03-01,11059.54
2,2025-03-02,11271.55
2,2025-03-03,12252.95
2,2025-03-04,12425.71
2,2025-03-05,11971.41
2,2025-03-06,11583.65
2,2025-03-07,13236.71
2,2025-03-08,11941.11
2,2025-03-09,12949.76
2,2025-03-10,11514.0
2,2025-03-11,12479.35
2,2025-03-12,13393.59
2,2025-03-13,9582.4
2,2025-03-14,11488.44
2,2025-03-15,12713.71
2,2025-03-16,13328.74
2,2025-03-17,12359.51
2,2025-03-18,12221.47
2,2025-03-19,13753.63
2,2025-03-20,13436.46
2,2025-03-21,11354.94
2,2025-03-22,12325.08
2,2025-03-23,12571.19
2,2025-03-24,13907.12
2,2025-03-25,13080.04
2,2025-03-26,12136.71
2,2025-03-27,12458.56
2,2025-03-28,10401.4
2,2025-03-29,13199.93
2,2025-03-30,12886.34
2,2025-03-31,13443.77
2,2025-04-01,12115.37
2,2025-04-02,12382.71
2,2025-04-03,11785.0
2,2025-04-04,11130.42
2,2025-04-05,11664.01
2,2025-04-06,10468.86
2,2025-04-07,13145.23
2,2025-04-08,10114.63
2,2025-04-09,14230.63
2,2025-04-10,10508.61
2,2025-04-11,13696.85
2,2025-04-12,11334.82
2,2025-04-13,12763.58
2,2025-04-14,11472.38
2,2025-04-15,13831.73
2,2025-04-16,12231.44
2,2025-04-17,13224.66
2,2025-04-18,12241.66
2,2025-04-19,12499.23
2,2025-04-20,12742.17
2,2025-04-21,11617.49
2,2025-04-22,10875.81
2,2025-04-23,10842.24
2,2025-04-24,12136.52
2,2025-04-25,11599.69
2,2025-04-26,9985.65
2,2025-04-27,12532.02
2,2025-04-28,10848.54
2,2025-04-29,10887.75
2,2025-04-30,11942.86
2,2025-05-01,11101.59
2,2025-05-02,12059.72
2,2025-05-03,13803.84
2,2025-05-04,11539.2
2,2025-05-05,10870.98
2,2025-05-06,12027.1
2,2025-05-07,11097.73
2,2025-05-08,11829.87
2,2025-05-09,12080.3
2,2025-05-10,11724.43
2,2025-05-11,11784.8
2,2025-05-12,11885.2
2,2025-05-13,13170.5
2,2025-05-14,11415.12
2,2025-05-15,11741.29
2,2025-05-16,12398.24
2,2025-05-17,12000.89
2,2025-05-18,11204.87
2,2025-05-19,12335.37
2,2025-05-20,10674.84
2,2025-05-21,11235.88
2,2025-05-22,10707.86
2,2025-05-23,11904.24
2,2025-05-24,12427.0
2,2025-05-25,11516.22
2,2025-05-26,11348.51
2,2025-05-27,10459.39
2,2025-05-28,10582.13
2,2025-05-29,10110.52
2,2025-05-30,9202.1
2,2025-05-31,10759.34
2,2025-06-01,10806.82
2,2025-06-02,12952.61
2,2025-06-03,12372.81
2,2025-06-04,11447.98
2,2025-06-05,12744.93
2,2025-06-06,12096.92
2,2025-06-07,9105.42
2,2025-06-08,11732.33
2,2025-06-09,11383.63
2,2025-06-10,10483.23
2,2025-06-11,9481.9
2,2025-06-12,11160.41
2,2025-06-13,8847.96
2,2025-06-14,10555.14
2,2025-06-15,10013.13
2,2025-06-16,9436.02
2,2025-06-17,11446.14
2,2025-06-18,10376.9
2,2025-06-19,10514.65
2,2025-06-20,11079.38
2,2025-06-21,10280.64
2,2025-06-22,10616.46
2,2025-06-23,10870.91
2,2025-06-24,10623.96
2,2025-06-25,10352.92
2,2025-06-26,11517.3
2,2025-06-27,11034.8
2,2025-06-28,9926.87
2,2025-06-29,9228.99
2,2025-06-30,10417.57
2,2025-07-01,10039.46
2,2025-07-02,11170.37
2,2025-07-03,10557.63
2,2025-07-04,10338.07
2,2025-07-05,9710.33
2,2025-07-06,8981.53
2,2025-07-07,9463.75
2,2025-07-08,9939.21
2,2025-07-09,8213.11
2,2025-07-10,10432.85
2,2025-07-11,11010.74
2,2025-07-12,7943.01
2,2025-07-13,8316.01
2,2025-07-14,9494.92
2,2025-07-15,8849.7
2,2025-07-16,9434.05
2,2025-07-17,9147.43
2,2025-07-18,8409.18
2,2025-07-19,10058.67
2,2025-07-20,9415.74
2,2025-07-21,8633.46
2,2025-07-22,10081.62
2,2025-07-23,8594.13
2,2025-07-24,8032.95
2,2025-07-25,9010.18
2,2025-07-26,9090.66
2,2025-07-27,9176.8
2,2025-07-28,9252.1
2,2025-07-29,9086.13
2,2025-07-30,9018.61
2,2025-07-31,8253.66
2,2025-08-01,8144.58
2,2025-08-02,9086.36
2,2025-08-03,8706.99
2,2025-08-04,9062.77
2,2025-08-05,7312.39
2,2025-08-06,8096.06
2,2025-08-07,9680.57
2,2025-08-08,8734.57
2,2025-08-09,8527.88
2,2025-08-10,8767.33
2,2025-08-11,9724.49
2,2025-08-12,9547.59
2,2025-08-13,7163.55
2,2025-08-14,7377.04
2,2025-08-15,7086.62
2,2025-08-16,7621.71
2,2025-08-17,8111.53
2,2025-08-18,8202.19
2,2025-08-19,7035.66
2,2025-08-20,6795.27
2,2025-08-21,7473.57
2,2025-08-22,8514.57
2,2025-08-23,8595.81
2,2025-08-24,8955.09
2,2025-08-25,7833.64
2,2025-08-26,8347.38
2,2025-08-27,8434.56
2,2025-08-28,7470.74
2,2025-08-29,7997.19
2,2025-08-30,8141.21
2,2025-08-31,7150.56
2,2025-09-01,8700.0
2,2025-09-02,7645.0
2,2025-09-03,7701.71
2,2025-09-04,7050.57
2,2025-09-05,7135.16
2,2025-09-06,6257.29
2,2025-09-07,7606.87
2,2025-09-08,9071.05
2,2025-09-09,6925.48
2,2025-09-10,9315.6
2,2025-09-11,8358.61
2,2025-09-12,7210.68
2,2025-09-13,7497.21
2,2025-09-14,7387.14
2,2025-09-15,8473.13
2,2025-09-16,7751.74
2,2025-09-17,8135.75
2,2025-09-18,7635.35
2,2025-09-19,7346.71
2,2025-09-20,7597.64
2,2025-09-21,7155.38
2,2025-09-22,6530.36
2,2025-09-23,7862.6
2,2025-09-24,6490.27
2,2025-09-25,7212.32
2,2025-09-26,7107.09
2,2025-09-27,7741.43
2,2025-09-28,8280.64
2,2025-09-29,8066.26
2,2025-09-30,7751.1
2,2025-10-01,6983.92
2,2025-10-02,7246.39
2,2025-10-03,7161.13
2,2025-10-04,7079.39
2,2025-10-05,7121.24
2,2025-10-06,7108.16
2,2025-10-07,7085.4
2,2025-10-08,7929.6
2,2025-10-09,6751.28
2,2025-10-10,6948.37
2,2025-10-11,6449.8
2,2025-10-12,8229.47
2,2025-10-13,6928.6
2,2025-10-14,7800.25
2,2025-10-15,7699.86
2,2025-10-16,8211.37
2,2025-10-17,7313.32
2,2025-10-18,6884.89
2,2025-10-19,6532.93
2,2025-10-20,5809.24
2,2025-10-21,7584.33
2,2025-10-22,7967.14
2,2025-10-23,7800.14
2,2025-10-24,6610.17
2,2025-10-25,8175.33
2,2025-10-26,7142.27
2,2025-10-27,7032.15
2,2025-10-28,7162.19
2,2025-10-29,7666.9
